date_id,calendar_date,day,day_name,week,month,month_name,quarter,year,fiscal_month,fiscal_quarter,fiscal_year,is_weekend
1,2020-01-01,1,Wednesday,1,1,January,1,2020,10,4,2019,False
2,2020-01-02,2,Thursday,1,1,January,1,2020,10,4,2019,False
3,2020-01-03,3,Friday,1,1,January,1,2020,10,4,2019,False
4,2020-01-04,4,Saturday,1,1,January,1,2020,10,4,2019,True
5,2020-01-05,5,Sunday,1,1,January,1,2020,10,4,2019,True
6,2020-01-06,6,Monday,2,1,January,1,2020,10,4,2019,False
7,2020-01-07,7,Tuesday,2,1,January,1,2020,10,4,2019,False
8,2020-01-08,8,Wednesday,2,1,January,1,2020,10,4,2019,False
9,2020-01-09,9,Thursday,2,1,January,1,2020,10,4,2019,False
10,2020-01-10,10,Friday,2,1,January,1,2020,10,4,2019,False
11,2020-01-11,11,Saturday,2,1,January,1,2020,10,4,2019,True
12,2020-01-12,12,Sunday,2,1,January,1,2020,10,4,2019,True
13,2020-01-13,13,Monday,3,1,January,1,2020,10,4,2019,False
14,2020-01-14,14,Tuesday,3,1,January,1,2020,10,4,2019,False
15,2020-01-15,15,Wednesday,3,1,January,1,2020,10,4,2019,False
16,2020-01-16,16,Thursday,3,1,January,1,2020,10,4,2019,False
17,2020-01-17,17,Friday,3,1,January,1,2020,10,4,2019,False
18,2020-01-18,18,Saturday,3,1,January,1,2020,10,4,2019,True
19,2020-01-19,19,Sunday,3,1,January,1,2020,10,4,2019,True
20,2020-01-20,20,Monday,4,1,January,1,2020,10,4,2019,False
21,2020-01-21,21,Tuesday,4,1,January,1,2020,10,4,2019,False
22,2020-01-22,22,Wednesday,4,1,January,1,2020,10,4,2019,False
23,2020-01-23,23,Thursday,4,1,January,1,2020,10,4,2019,False
24,2020-01-24,24,Friday,4,1,January,1,2020,10,4,2019,False
25,2020-01-25,25,Saturday,4,1,January,1,2020,10,4,2019,True
26,2020-01-26,26,Sunday,4,1,January,1,2020,10,4,2019,True
27,2020-01-27,27,Monday,5,1,January,1,2020,10,4,2019,False
28,2020-01-28,28,Tuesday,5,1,January,1,2020,10,4,2019,False
29,2020-01-29,29,Wednesday,5,1,January,1,2020,10,4,2019,False
30,2020-01-30,30,Thursday,5,1,January,1,2020,10,4,2019,False
31,2020-01-31,31,Friday,5,1,January,1,2020,10,4,2019,False
32,2020-02-01,1,Saturday,5,2,February,1,2020,11,4,2019,True
33,2020-02-02,2,Sunday,5,2,February,1,2020,11,4,2019,True
34,2020-02-03,3,Monday,6,2,February,1,2020,11,4,2019,False
35,2020-02-04,4,Tuesday,6,2,February,1,2020,11,4,2019,False
36,2020-02-05,5,Wednesday,6,2,February,1,2020,11,4,2019,False
37,2020-02-06,6,Thursday,6,2,February,1,2020,11,4,2019,False
38,2020-02-07,7,Friday,6,2,February,1,2020,11,4,2019,False
39,2020-02-08,8,Saturday,6,2,February,1,2020,11,4,2019,True
40,2020-02-09,9,Sunday,6,2,February,1,2020,11,4,2019,True
41,2020-02-10,10,Monday,7,2,February,1,2020,11,4,2019,False
42,2020-02-11,11,Tuesday,7,2,February,1,2020,11,4,2019,False
43,2020-02-12,12,Wednesday,7,2,February,1,2020,11,4,2019,False
44,2020-02-13,13,Thursday,7,2,February,1,2020,11,4,2019,False
45,2020-02-14,14,Friday,7,2,February,1,2020,11,4,2019,False
46,2020-02-15,15,Saturday,7,2,February,1,2020,11,4,2019,True
47,2020-02-16,16,Sunday,7,2,February,1,2020,11,4,2019,True
48,2020-02-17,17,Monday,8,2,February,1,2020,11,4,2019,False
49,2020-02-18,18,Tuesday,8,2,February,1,2020,11,4,2019,False
50,2020-02-19,19,Wednesday,8,2,February,1,2020,11,4,2019,False
51,2020-02-20,20,Thursday,8,2,February,1,2020,11,4,2019,False
52,2020-02-21,21,Friday,8,2,February,1,2020,11,4,2019,False
53,2020-02-22,22,Saturday,8,2,February,1,2020,11,4,2019,True
54,2020-02-23,23,Sunday,8,2,February,1,2020,11,4,2019,True
55,2020-02-24,24,Monday,9,2,February,1,2020,11,4,2019,False
56,2020-02-25,25,Tuesday,9,2,February,1,2020,11,4,2019,False
57,2020-02-26,26,Wednesday,9,2,February,1,2020,11,4,2019,False
58,2020-02-27,27,Thursday,9,2,February,1,2020,11,4,2019,False
59,2020-02-28,28,Friday,9,2,February,1,2020,11,4,2019,False
60,2020-02-29,29,Saturday,9,2,February,1,2020,11,4,2019,True
61,2020-03-01,1,Sunday,9,3,March,1,2020,12,4,2019,True
62,2020-03-02,2,Monday,10,3,March,1,2020,12,4,2019,False
63,2020-03-03,3,Tuesday,10,3,March,1,2020,12,4,2019,False
64,2020-03-04,4,Wednesday,10,3,March,1,2020,12,4,2019,False
65,2020-03-05,5,Thursday,10,3,March,1,2020,12,4,2019,False
66,2020-03-06,6,Friday,10,3,March,1,2020,12,4,2019,False
67,2020-03-07,7,Saturday,10,3,March,1,2020,12,4,2019,True
68,2020-03-08,8,Sunday,10,3,March,1,2020,12,4,2019,True
69,2020-03-09,9,Monday,11,3,March,1,2020,12,4,2019,False
70,2020-03-10,10,Tuesday,11,3,March,1,2020,12,4,2019,False
71,2020-03-11,11,Wednesday,11,3,March,1,2020,12,4,2019,False
72,2020-03-12,12,Thursday,11,3,March,1,2020,12,4,2019,False
73,2020-03-13,13,Friday,11,3,March,1,2020,12,4,2019,False
74,2020-03-14,14,Saturday,11,3,March,1,2020,12,4,2019,True
75,2020-03-15,15,Sunday,11,3,March,1,2020,12,4,2019,True
76,2020-03-16,16,Monday,12,3,March,1,2020,12,4,2019,False
77,2020-03-17,17,Tuesday,12,3,March,1,2020,12,4,2019,False
78,2020-03-18,18,Wednesday,12,3,March,1,2020,12,4,2019,False
79,2020-03-19,19,Thursday,12,3,March,1,2020,12,4,2019,False
80,2020-03-20,20,Friday,12,3,March,1,2020,12,4,2019,False
81,2020-03-21,21,Saturday,12,3,March,1,2020,12,4,2019,True
82,2020-03-22,22,Sunday,12,3,March,1,2020,12,4,2019,True
83,2020-03-23,23,Monday,13,3,March,1,2020,12,4,2019,False
84,2020-03-24,24,Tuesday,13,3,March,1,2020,12,4,2019,False
85,2020-03-25,25,Wednesday,13,3,March,1,2020,12,4,2019,False
86,2020-03-26,26,Thursday,13,3,March,1,2020,12,4,2019,False
87,2020-03-27,27,Friday,13,3,March,1,2020,12,4,2019,False
88,2020-03-28,28,Saturday,13,3,March,1,2020,12,4,2019,True
89,2020-03-29,29,Sunday,13,3,March,1,2020,12,4,2019,True
90,2020-03-30,30,Monday,14,3,March,1,2020,12,4,2019,False
91,2020-03-31,31,Tuesday,14,3,March,1,2020,12,4,2019,False
92,2020-04-01,1,Wednesday,14,4,April,2,2020,1,1,2020,False
93,2020-04-02,2,Thursday,14,4,April,2,2020,1,1,2020,False
94,2020-04-03,3,Friday,14,4,April,2,2020,1,1,2020,False
95,2020-04-04,4,Saturday,14,4,April,2,2020,1,1,2020,True
96,2020-04-05,5,Sunday,14,4,April,2,2020,1,1,2020,True
97,2020-04-06,6,Monday,15,4,April,2,2020,1,1,2020,False
98,2020-04-07,7,Tuesday,15,4,April,2,2020,1,1,2020,False
